starttime	seconds	ctime	dtime	ttime	wait
Tue Dec 30 18:35:39 2025	1767099939	0	2005	2005	2004
Tue Dec 30 18:35:41 2025	1767099941	1	6007	6008	6007
Tue Dec 30 18:35:41 2025	1767099941	1	6007	6008	6007
Tue Dec 30 18:35:41 2025	1767099941	1	6008	6009	6007
Tue Dec 30 18:35:41 2025	1767099941	1	18019	18020	18019
Tue Dec 30 18:35:41 2025	1767099941	1	18019	18020	18019
Tue Dec 30 18:35:41 2025	1767099941	1	18019	18020	18019
Tue Dec 30 18:35:41 2025	1767099941	1	18019	18020	18019
Tue Dec 30 18:35:41 2025	1767099941	1	18019	18020	18019
Tue Dec 30 18:35:41 2025	1767099941	1	18019	18020	18019
